   388	TONY COOK AND THE PARTY PEOPLE 	ON THE FLOOR (ROCK IT) 	85 	36
   389	MYSTERY GIRLS 	ASH IN DRAG 	82 	36
   390	KATRINA AND THE WAVES 	QUE TE QUEIRO 	84 	36
   391	B-MOVIE 	A LETTER FROM AFAR 	81 	36
   392	TIK AND TOK 	SCREEN ME I'M YOURS 	79 	35
   393	POSITIVE NOISE 	A MILLION MILES AWAY 	82 	35
   394	DAVID GRANT 	ORGANIZE/WRAP YOURSELF AROUND ME 	90 	34
   395	THOMAS DOLBY 	DISSIDENTS 	90 	33
   396	NEWCLEUS 	JAM ON IT 	89 	33
   397	HELEN TERRY 	STUTTERING 	84 	33
   398	BLUE NILE 	TINSELTOWN IN THE RAIN 	87 	33
   399	SCORPIONS 	ROCK YOU LIKE A HURRICANE 	78 	32
   400	PRETENDERS 	MIDDLE OF THE ROAD 	81 	32
   401	EARLENE BENTLEY 	CAUGHT IN THE ACT 	78 	32
   402	WANG CHUNG 	DON'T LET GO 	81 	31
   403	SAVAGE PROGRESS 	BURNING BUSH 	83 	31
   404	CARS 	YOU MIGHT THINK 	88 	31
   405	GILBERTO GIL 	TODA MENINA BAIANA 	90 	30
   406	EDDY GRANT 	BOYS IN THE STREET 	78 	30
   407	GEORGE KRANZ 	DIN DAA DAA 	88 	29
   408	GAYLE ADAMS 	I'M WARNING YOU 	86 	29
   409	AZTEC CAMERA 	STILL ON FIRE 	83 	29
   410	Y&T 	DON'T STOP RUNNIN' 	86 	28
   411	WORKING WEEK 	STORM OF LIGHT 	88 	28
